school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHOIR,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,MEDIA COMMUNICATIONS CLUB
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FENCING,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,GIRL GUIDES,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MODERN DANCE,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,NETBALL,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SAILING,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SOFTBALL,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SP-CCA (ATHLETICS),na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,ST JOHN BRIGADE,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TABLE TENNIS,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TAEKWONDO,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TRACK AND FIELD,na
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,VOLLEYBALL,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,ARTISTIC GYMNASTICS,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CULTURAL DANCE,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FLOORBALL,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na
PASIR RIS PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,NETBALL,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,OUTDOOR ADVENTURE,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,SAILING,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,SPEECH AND DRAMA,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,SWIMMING,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TAEKWONDO,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TENNIS,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
PASIR RIS PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BADMINTON,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BASKETBALL,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHOIR,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,DESIGN AND INNOVATION,TINKERS CLUB
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FLOORBALL,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FOOTBALL,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),AUDIO VISUAL LIGHTS
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MODERN DANCE,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,NETBALL,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,SINGAPORE NATIONAL YOUTH ORCHESTRA,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SP-CCA (ATHLETICS),na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SP-CCA (CANOEING),na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SP-CCA (WATER POLO),na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (COUNCIL),na
PASIR RIS SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,VOLLEYBALL,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,PHYSICAL SPORTS,BADMINTON,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,ENVIRONMENTCLUB
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,CLUBS AND SOCIETIES,FAITH-BASED CCA,CHRISTIAN FELLOWSHIP
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),INNOVATION CLUB
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,INTERNATIONAL DANCE
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,PHYSICAL SPORTS,NETBALL,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,PHYSICAL SPORTS,RHYTHMIC GYMNASTICS,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),PHYSICAL SPORTS,BADMINTON,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHINESE DRAMA,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHOIR,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),UNIFORMED GROUPS,GIRLS' BRIGADE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,HARP ENSEMBLE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MODERN DANCE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),PHYSICAL SPORTS,NETBALL,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),PHYSICAL SPORTS,RHYTHMIC GYMNASTICS,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),UNIFORMED GROUPS,ST JOHN BRIGADE,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),PHYSICAL SPORTS,SWIMMING,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),PHYSICAL SPORTS,TABLE TENNIS,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),PHYSICAL SPORTS,TRACK AND FIELD,na
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY (S1-S5),PHYSICAL SPORTS,VOLLEYBALL,na
PEI CHUN PUBLIC SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,na
PEI CHUN PUBLIC SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
PEI CHUN PUBLIC SCHOOL,PRIMARY,CLUBS AND SOCIETIES,CHINESE CALLIGRAPHY AND BRUSH PAINTING,CHINESE INK BRUSH PAINTING
PEI CHUN PUBLIC SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
PEI CHUN PUBLIC SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na
PEI CHUN PUBLIC SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
PEI CHUN PUBLIC SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,SCIENCE AND GARDENING CLUB
PEI CHUN PUBLIC SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),#DIGI.ME CLUB
PEI CHUN PUBLIC SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),LET'S PLAY SPORTS
PEI CHUN PUBLIC SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
PEI CHUN PUBLIC SCHOOL,PRIMARY,CLUBS AND SOCIETIES,STRATEGY GAMES,STRATEGIC BOARD GAMES
PEI CHUN PUBLIC SCHOOL,PRIMARY,OTHERS,STUDENT LEADERSHIP (HOUSE),STUDENT LEADERSHIP (PAM)
PEI CHUN PUBLIC SCHOOL,PRIMARY,OTHERS,STUDENT LEADERSHIP (PEER SUPPORT),STUDENT LEADERSHIP (PEER SUPPORT)
PEI CHUN PUBLIC SCHOOL,PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),STUDENT LEADERSHIP (PREFECTORIAL)
PEI CHUN PUBLIC SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
PEI CHUN PUBLIC SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na
PEI CHUN PUBLIC SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,CHINESE CULTURE AND LANGUAGE,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DRUMS,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,FAITH-BASED CCA,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,RHYTHMIC GYMNASTICS,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TCHOUKBALL,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ART AND CRAFTS,PEI HWA ART COUNCIL
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BADMINTON,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BASKETBALL,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHOIR,PEI HWA VOICES
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,SYMPHONIC BAND
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FLOORBALL,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FOOTBALL,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM CLUB
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,JOURNALISM,PEI HWA TIMES
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE SOCIETY
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,OUTDOOR ADVENTURE,OUTDOOR ACTIVITIES CLUB
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ROBOTICS,ROBOTICS CLUB
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SP-CCA (ATHLETICS),na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SP-CCA (WATER POLO),na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,SPEECH AND DRAMA,DRAMA SOCIETY
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT INITIATED ACTIVITIES (CLUBS & SOCIETIES),na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT INITIATED ACTIVITIES (PHYSICAL SPORTS AND OUTDOORS),na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT INITIATED ACTIVITIES (VISUAL & PERFORMING ARTS),na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (COUNCIL),STUDENT COUNCIL
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (HOUSE),na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (PEER SUPPORT),na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (PREFECT),na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TABLE TENNIS,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TAEKWONDO,na
PEI HWA SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,WUSHU,na
PEI TONG PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,na
PEI TONG PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
PEI TONG PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
PEI TONG PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
PEI TONG PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
PEI TONG PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",DRAMA
PEI TONG PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na
PEI TONG PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
PEI TONG PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),BROWNIES
PEI TONG PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na
PEI TONG PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFO COMM
PEI TONG PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
PEI TONG PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,PERCUSSION ENSEMBLE,na
PEI TONG PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,AERO-MODELLING,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ART AND CRAFTS,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BADMINTON,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BASKETBALL,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FLOORBALL,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,GIRL GUIDES,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MODERN DANCE,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CADET CORPS (SEA),na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SOFTBALL,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SP-CCA (ATHLETICS),na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SP-CCA (WATER POLO),na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (COUNCIL),na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TABLE TENNIS,na
PEICAI SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,VOLLEYBALL,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ART AND CRAFTS,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BASKETBALL,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHOIR,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,INTERNATIONAL CHESS,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,JUDO,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MODERN DANCE,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
PEIRCE SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,NETBALL,na
